ID,Name,Category,Start,N_Days,IS_Days,OOS_Days,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,num_trades,hit_rate,BAH_Return%,BAH_Sharpe,BAH_MaxDD%,Excess_Sharpe,IS_Sharpe,OOS_Sharpe,OOS_AnnReturn,OOS_TotalRet,OOS_MaxDD,OOS_WinRate,Overfit_Ratio,WF_Steps,N_OOS_Positive
S01,3M_Momentum,A,2003-03-31,6000,126,21,199.21,4.71,6.007,-0.67,64.76,2.582,9,64.76,67.58,2.686,-15.71,3.321,6.489,6.203,4.87,186.81,-0.97,65.3,0.006,279,269
S02,6M_Momentum,A,2003-06-26,5937,126,21,185.9,4.56,5.794,-1.26,64.05,2.495,5,64.05,65.41,2.646,-15.71,3.148,6.155,6.15,4.83,181.18,-0.62,65.07,-0.04,276,267
S03,12_1_Momentum,A,2003-12-19,5811,126,21,153.61,4.12,5.186,-2.6,62.6,2.265,9,62.6,60.34,2.535,-15.71,2.651,0.0,5.82,4.6,162.36,-1.66,64.13,0.0,270,255
S04,SMA_Cross,A,2003-10-08,5863,126,21,113.57,3.32,4.822,-1.07,63.47,2.43,8,63.47,62.2,2.572,-15.71,2.25,4.518,4.932,3.37,105.08,-0.37,63.84,0.011,273,201
S05,RSI14_Yield,A,2003-02-28,6021,126,21,-31.86,-1.59,-3.394,-32.39,34.55,0.382,437,34.55,68.02,2.693,-15.71,-6.087,-1.466,-3.519,-1.67,-31.15,-31.21,33.48,-0.552,280,47
S06,Carry_Slope,B,2003-12-19,5811,252,42,12.39,0.51,0.664,-12.43,51.83,1.118,359,51.83,60.34,2.535,-15.71,-1.871,1.272,0.639,0.49,11.04,-11.98,52.4,0.496,132,71
S07,Breakeven_Mom,B,2004-03-17,5748,252,42,7.99,0.34,0.464,-4.88,51.77,1.085,649,51.77,58.94,2.513,-15.71,-2.049,0.0,0.0,,,,,0.0,130,0
S08,ACM_TermPrem,B,2003-12-19,5811,252,42,-60.92,-3.99,-5.326,-61.09,36.91,0.425,53,36.91,60.34,2.535,-15.71,-7.861,-4.775,-5.147,-3.87,-57.12,-57.5,37.03,-0.092,132,15
S09,Real_Yield,B,2004-03-17,5748,252,42,83.99,2.71,4.37,-0.45,63.96,2.473,81,63.96,58.94,2.513,-15.71,1.857,3.39,4.146,2.37,64.08,-0.4,64.24,0.022,130,79
S10,CPI_Mom,B,2004-03-17,5748,252,42,8.41,0.35,0.492,-4.92,51.62,1.092,233,51.62,58.94,2.513,-15.71,-2.021,0.434,0.31,0.22,4.8,-5.14,50.81,-0.106,130,70
S11,VIX_Safety,C,2003-12-19,5811,126,21,14.58,0.59,1.565,-2.59,58.39,1.702,324,58.39,60.34,2.535,-15.71,-0.97,0.0,1.183,0.48,10.78,-3.8,55.58,0.0,270,103
S12,HY_Spread,C,2004-01-02,5801,126,21,-5.98,-0.27,-0.405,-7.13,48.63,0.923,1600,48.63,60.17,2.533,-15.71,-2.938,0.0,-0.963,-0.65,-6.73,-7.72,47.4,0.0,270,114
S13,DXY_Mom,C,2004-01-02,5801,126,21,-2.5,-0.11,-0.163,-16.11,49.53,0.969,1303,49.53,60.17,2.533,-15.71,-2.696,0.0,0.0,,,,,0.0,270,0
S14,Oil_Mom,C,2004-01-02,5801,126,21,5.25,0.22,0.406,-2.88,51.4,1.099,1083,51.4,60.17,2.533,-15.71,-2.127,0.0,0.0,,,,,0.0,270,0
S15,COT_Lev,D,2005-11-24,5307,252,42,-15.06,-0.77,-1.388,-18.77,43.55,0.726,192,43.55,45.17,2.188,-15.71,-3.576,0.0,-0.753,-0.44,-8.32,-12.86,46.37,0.0,120,51
S16,PrimDealer,D,2003-12-26,5806,252,42,-2.46,-0.11,-0.159,-5.23,49.41,0.969,801,49.41,60.35,2.537,-15.71,-2.696,0.691,-0.084,-0.06,-1.25,-4.71,50.13,1.132,132,67
